dimension_1	dimension_2	labels
-10.337	24.235	0
-9.714	24.774	0
-10.264	24.118	0
-10.542	24.595	0
-10.801	24.395	0
-10.697	24.865	0
-10.343	24.521	0
-9.796	24.795	0
-9.812	24.902	0
-9.784	25.001	0
-9.881	24.540	0
-10.669	25.194	0
-9.552	24.406	0
-10.420	25.131	0
-10.435	25.222	0
-10.371	25.283	0
-10.300	24.452	0
-9.531	25.357	0
-10.624	24.485	0
-10.704	25.318	0
-10.098	24.961	0
-10.912	25.275	0
-10.900	25.275	0
-10.861	25.086	0
-10.676	24.502	0
-10.681	24.459	0
-10.761	24.169	0
-10.897	24.921	0
-10.403	25.291	0
-11.364	23.985	0
-10.308	25.075	0
-10.833	25.297	0
-11.245	24.999	0
-11.037	25.090	0
-10.812	24.334	0
-11.021	25.085	0
-11.205	24.706	0
-10.930	24.931	0
-10.656	24.936	0
-10.876	24.938	0
-11.222	25.375	0
-11.507	25.276	0
-10.483	24.688	0
-10.844	24.984	0
-10.957	25.005	0
-10.886	24.338	0
-11.876	24.867	0
-11.011	24.580	0
-11.314	24.478	0
-10.886	24.517	0
-10.610	25.411	0
-11.760	24.578	0
-10.822	24.568	0
-11.825	25.161	0
-10.725	25.321	0
-11.375	25.274	0
-11.247	26.075	0
-11.294	25.010	0
-11.383	24.674	0
-10.529	25.147	0
-11.542	25.410	0
-11.775	24.694	0
-11.208	25.384	0
-11.019	25.383	0
-11.728	25.031	0
-11.544	25.280	0
-10.835	25.222	0
-11.684	25.670	0
-12.023	24.630	0
-10.873	25.348	0
-11.901	25.431	0
-11.416	25.910	0
-11.206	24.735	0
-10.937	24.833	0
-12.442	25.023	0
-11.934	24.898	0
-10.497	25.169	0
-10.985	24.548	0
-11.342	24.897	0
-11.986	24.619	0
-10.819	25.071	0
-11.944	24.729	0
-11.256	24.525	0
-11.405	24.107	0
-11.410	24.673	0
-11.597	25.252	0
-10.996	24.780	0
-11.756	25.365	0
-12.006	24.689	0
-10.802	24.880	0
-11.664	24.227	0
-11.445	25.423	0
-11.710	24.698	0
-11.451	24.783	0
-11.128	24.764	0
-10.561	25.092	0
-12.244	24.588	0
-11.893	25.128	0
-11.303	25.369	0
-11.561	25.372	0
-11.107	24.476	0
-11.447	24.893	0
-12.308	24.353	0
-11.211	24.984	0
-11.426	24.045	0
-11.359	24.934	0
-11.000	24.430	0
-12.468	25.104	0
-11.991	24.623	0
-11.628	24.435	0
-11.859	23.863	0
-11.809	24.913	0
-11.756	25.389	0
-12.171	24.635	0
-11.444	24.692	0
-11.024	24.645	0
-11.389	24.837	0
-11.874	24.951	0
-11.036	24.678	0
-11.936	24.799	0
-11.701	25.339	0
-10.425	23.911	0
-11.659	24.994	0
-11.540	24.272	0
-11.738	24.735	0
-11.106	24.101	0
-11.350	24.003	0
-11.608	24.282	0
-11.368	24.307	0
-10.929	23.915	0
-12.145	24.029	0
-11.706	24.739	0
-11.844	24.512	0
-12.043	24.148	0
-10.669	23.909	0
-11.573	23.883	0
-11.892	24.333	0
-11.484	24.557	0
-11.440	23.631	0
-12.143	23.797	0
-10.839	24.591	0
-11.167	24.670	0
-11.968	24.075	0
-11.512	24.353	0
-11.157	24.309	0
-11.739	23.752	0
-11.322	23.442	0
-10.835	23.528	0
-11.021	24.243	0
-10.817	23.533	0
-10.869	23.285	0
-11.456	24.197	0
-10.664	23.074	0
-11.183	24.006	0
-11.358	23.885	0
-11.401	24.200	0
-10.686	22.723	0
-11.332	23.300	0
-11.090	23.379	0
-11.356	23.937	0
-11.245	24.274	0
-10.809	23.895	0
-10.933	23.698	0
-11.353	23.618	0
-10.949	24.192	0
-11.410	23.267	0
-11.588	23.747	0
-11.493	23.548	0
-10.678	23.342	0
-10.919	23.974	0
-10.767	23.161	0
-10.254	24.056	0
-10.489	23.280	0
-10.720	23.693	0
-9.914	23.751	0
-10.262	22.923	0
-10.708	23.046	0
-10.167	23.210	0
-11.146	23.189	0
-10.883	23.585	0
-10.652	23.448	0
-10.566	23.426	0
-10.828	23.291	0
-10.789	22.846	0
-10.302	22.971	0
-11.243	23.308	0
-10.406	23.208	0
-10.218	22.455	0
-10.815	23.194	0
-10.813	22.926	0
-10.037	22.669	0
-9.714	22.272	0
-10.695	23.358	0
-10.839	22.389	0
-10.200	22.100	0
-9.798	22.586	0
-10.537	22.115	0
-9.793	22.355	0
-10.824	22.771	0
-9.847	21.496	0
-9.765	22.152	0
-10.623	22.171	0
-10.379	21.551	0
-9.569	22.193	0
-10.312	22.325	0
-10.099	22.541	0
-10.622	21.852	0
-10.021	22.299	0
-9.376	21.541	0
-10.385	21.654	0
-10.085	21.950	0
-9.444	22.052	0
-9.641	21.891	0
-10.009	22.042	0
-8.510	22.034	0
-9.402	21.660	0
-10.041	22.107	0
-9.767	21.629	0
-9.399	22.209	0
-10.293	21.984	0
-9.448	21.730	0
-9.633	21.461	0
-9.565	22.000	0
-9.206	21.801	0
-9.558	22.134	0
-9.063	21.516	0
-9.295	21.821	0
-9.115	21.228	0
-8.541	21.834	0
-9.253	21.111	0
-8.965	20.718	0
-9.067	21.301	0
-8.882	21.118	0
-8.892	21.588	0
-8.159	21.132	0
-9.410	21.088	0
-8.377	20.835	0
-9.429	21.309	0
